ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,195.95,0,0.00,0.000,0,0.00,0
32768,32768,213.71,0,0.00,0.000,0,0.00,0
65536,65536,198.34,0,0.00,0.000,0,0.00,0
131072,131072,172.22,0,0.00,0.000,0,0.00,0
393216,393216,114.92,0,0.00,0.000,0,0.00,0
